id,patient_text,relative_text,severity
7742,I feel disconnected from people,Mood fluctuates frequently,1
7743,I feel tired and hopeless,She seems withdrawn and quiet,10
7744,I feel fine and stable,Appears emotionally distant,1
7745,I feel motivated and energetic,Seems happy and social,10
7746,I feel emotionally numb,Actively interacts with family,3
7747,I feel tired and hopeless,Shows signs of irritability,1
7748,I feel tired and hopeless,Seems happy and social,6
7749,I feel motivated and energetic,Behavior appears normal,7
7750,I feel tired and hopeless,Mood fluctuates frequently,3
7751,I feel calm and normal,Appears emotionally distant,7
7752,I feel worried about everything,She seems withdrawn and quiet,4
7753,I feel anxious most of the day,Behavior appears normal,8
7754,I feel emotionally numb,Appears emotionally distant,6
7755,I feel anxious most of the day,Often prefers to stay alone,9
7756,I feel sad without any clear reason,He avoids family and sleeps a lot,7
7757,I feel worried about everything,Appears emotionally distant,4
7758,I feel motivated and energetic,Actively interacts with family,1
7759,I feel worried about everything,Often prefers to stay alone,6
7760,I feel stressed and overwhelmed,She seems withdrawn and quiet,7
7761,I feel stressed and overwhelmed,She seems withdrawn and quiet,2
7762,I feel stressed and overwhelmed,Often prefers to stay alone,6
7763,I feel emotionally numb,Seems happy and social,3
7764,I feel emotionally numb,Often prefers to stay alone,5
7765,I feel tired and hopeless,Appears emotionally distant,5
7766,I feel motivated and energetic,Often prefers to stay alone,5
7767,I feel tired and hopeless,Shows signs of irritability,9
7768,I feel emotionally numb,She seems withdrawn and quiet,9
7769,I feel emotionally numb,Actively interacts with family,1
7770,I feel tired and hopeless,He avoids family and sleeps a lot,9
7771,I feel stressed and overwhelmed,Behavior appears normal,1
7772,I feel motivated and energetic,Appears emotionally distant,5
7773,I feel sad without any clear reason,Seems happy and social,4
7774,I feel tired and hopeless,She seems withdrawn and quiet,9
7775,I feel anxious most of the day,Shows signs of irritability,6
7776,I feel sad without any clear reason,He avoids family and sleeps a lot,2
7777,I feel tired and hopeless,Shows signs of irritability,1
7778,I feel motivated and energetic,She seems withdrawn and quiet,6
7779,I feel disconnected from people,Often prefers to stay alone,3
7780,I feel motivated and energetic,Seems happy and social,5
7781,I feel tired and hopeless,No major change noticed,4
7782,I feel anxious most of the day,No major change noticed,7
7783,I feel tired and hopeless,Appears emotionally distant,5
7784,I feel worried about everything,Often prefers to stay alone,2
7785,I feel fine and stable,Actively interacts with family,1
7786,I feel calm and normal,Often prefers to stay alone,5
7787,I feel disconnected from people,Mood fluctuates frequently,6
7788,I feel tired and hopeless,Shows signs of irritability,2
7789,I feel emotionally numb,He avoids family and sleeps a lot,2
7790,I feel tired and hopeless,Often prefers to stay alone,3
7791,I feel emotionally numb,Actively interacts with family,2
7792,I feel motivated and energetic,Often prefers to stay alone,9
7793,I feel tired and hopeless,No major change noticed,4
7794,I feel motivated and energetic,He avoids family and sleeps a lot,10
7795,I feel disconnected from people,Actively interacts with family,1
7796,I feel calm and normal,Mood fluctuates frequently,5
7797,I feel disconnected from people,Seems happy and social,4
7798,I feel emotionally numb,Seems happy and social,7
7799,I feel motivated and energetic,She seems withdrawn and quiet,4
7800,I feel stressed and overwhelmed,No major change noticed,6
7801,I feel calm and normal,He avoids family and sleeps a lot,9
7802,I feel anxious most of the day,Shows signs of irritability,5
7803,I feel tired and hopeless,No major change noticed,9
7804,I feel calm and normal,Often prefers to stay alone,7
7805,I feel calm and normal,Shows signs of irritability,5
7806,I feel motivated and energetic,She seems withdrawn and quiet,5
7807,I feel motivated and energetic,She seems withdrawn and quiet,1
7808,I feel calm and normal,He avoids family and sleeps a lot,5
7809,I feel disconnected from people,He avoids family and sleeps a lot,7
7810,I feel stressed and overwhelmed,Seems happy and social,3
7811,I feel stressed and overwhelmed,No major change noticed,1
7812,I feel disconnected from people,Actively interacts with family,3
7813,I feel emotionally numb,She seems withdrawn and quiet,6
7814,I feel sad without any clear reason,Behavior appears normal,8
7815,I feel sad without any clear reason,Appears emotionally distant,5
7816,I feel stressed and overwhelmed,Shows signs of irritability,6
7817,I feel emotionally numb,Often prefers to stay alone,10
7818,I feel stressed and overwhelmed,Seems happy and social,2
7819,I feel worried about everything,Behavior appears normal,5
7820,I feel calm and normal,No major change noticed,6
7821,I feel stressed and overwhelmed,Appears emotionally distant,7
7822,I feel tired and hopeless,Seems happy and social,5
7823,I feel emotionally numb,Appears emotionally distant,5
7824,I feel fine and stable,No major change noticed,4
7825,I feel fine and stable,She seems withdrawn and quiet,4
7826,I feel disconnected from people,She seems withdrawn and quiet,5
7827,I feel anxious most of the day,Actively interacts with family,10
7828,I feel disconnected from people,Often prefers to stay alone,3
7829,I feel anxious most of the day,Actively interacts with family,1
7830,I feel emotionally numb,Appears emotionally distant,9
7831,I feel fine and stable,Behavior appears normal,1
7832,I feel fine and stable,He avoids family and sleeps a lot,8
7833,I feel calm and normal,Often prefers to stay alone,4
7834,I feel fine and stable,No major change noticed,2
7835,I feel stressed and overwhelmed,Mood fluctuates frequently,4
7836,I feel motivated and energetic,He avoids family and sleeps a lot,5
7837,I feel tired and hopeless,She seems withdrawn and quiet,9
7838,I feel stressed and overwhelmed,No major change noticed,7
7839,I feel anxious most of the day,Mood fluctuates frequently,8
7840,I feel disconnected from people,Behavior appears normal,9
7841,I feel sad without any clear reason,Behavior appears normal,7
7842,I feel sad without any clear reason,Shows signs of irritability,4
7843,I feel anxious most of the day,No major change noticed,4
7844,I feel sad without any clear reason,Seems happy and social,5
7845,I feel motivated and energetic,No major change noticed,3
7846,I feel calm and normal,Actively interacts with family,10
7847,I feel fine and stable,Often prefers to stay alone,8
7848,I feel motivated and energetic,Actively interacts with family,6
7849,I feel fine and stable,Appears emotionally distant,10
7850,I feel sad without any clear reason,Shows signs of irritability,7
7851,I feel anxious most of the day,Appears emotionally distant,3
7852,I feel worried about everything,Mood fluctuates frequently,8
7853,I feel anxious most of the day,Appears emotionally distant,3
7854,I feel tired and hopeless,She seems withdrawn and quiet,7
7855,I feel sad without any clear reason,Actively interacts with family,4
7856,I feel disconnected from people,Behavior appears normal,6
7857,I feel emotionally numb,Actively interacts with family,7
7858,I feel fine and stable,Shows signs of irritability,1
7859,I feel anxious most of the day,Often prefers to stay alone,3
7860,I feel fine and stable,She seems withdrawn and quiet,9
7861,I feel fine and stable,No major change noticed,8
7862,I feel tired and hopeless,Seems happy and social,3
7863,I feel disconnected from people,Appears emotionally distant,6
7864,I feel sad without any clear reason,Actively interacts with family,8
7865,I feel tired and hopeless,He avoids family and sleeps a lot,6
7866,I feel tired and hopeless,Actively interacts with family,3
7867,I feel fine and stable,Often prefers to stay alone,8
7868,I feel fine and stable,No major change noticed,3
7869,I feel stressed and overwhelmed,No major change noticed,4
7870,I feel anxious most of the day,Often prefers to stay alone,6
7871,I feel calm and normal,Seems happy and social,3
7872,I feel sad without any clear reason,She seems withdrawn and quiet,4
7873,I feel motivated and energetic,No major change noticed,9
7874,I feel emotionally numb,Actively interacts with family,7
7875,I feel worried about everything,No major change noticed,1
7876,I feel tired and hopeless,No major change noticed,10
7877,I feel stressed and overwhelmed,No major change noticed,5
7878,I feel tired and hopeless,She seems withdrawn and quiet,3
7879,I feel emotionally numb,He avoids family and sleeps a lot,5
7880,I feel emotionally numb,Appears emotionally distant,8
7881,I feel calm and normal,Seems happy and social,2
7882,I feel disconnected from people,Shows signs of irritability,4
7883,I feel tired and hopeless,Seems happy and social,8
7884,I feel motivated and energetic,He avoids family and sleeps a lot,2
7885,I feel fine and stable,Appears emotionally distant,10
7886,I feel calm and normal,No major change noticed,10
7887,I feel stressed and overwhelmed,Appears emotionally distant,9
7888,I feel emotionally numb,Mood fluctuates frequently,10
7889,I feel anxious most of the day,Mood fluctuates frequently,6
7890,I feel tired and hopeless,Mood fluctuates frequently,1
7891,I feel tired and hopeless,Mood fluctuates frequently,3
7892,I feel anxious most of the day,Mood fluctuates frequently,8
7893,I feel emotionally numb,Often prefers to stay alone,5
7894,I feel anxious most of the day,Behavior appears normal,9
7895,I feel worried about everything,Mood fluctuates frequently,4
7896,I feel calm and normal,Mood fluctuates frequently,5
7897,I feel emotionally numb,He avoids family and sleeps a lot,3
7898,I feel sad without any clear reason,She seems withdrawn and quiet,2
7899,I feel fine and stable,Actively interacts with family,8
7900,I feel sad without any clear reason,She seems withdrawn and quiet,5
7901,I feel emotionally numb,He avoids family and sleeps a lot,5
7902,I feel emotionally numb,Often prefers to stay alone,7
7903,I feel calm and normal,He avoids family and sleeps a lot,3
7904,I feel sad without any clear reason,Behavior appears normal,9
7905,I feel tired and hopeless,Actively interacts with family,6
7906,I feel emotionally numb,Appears emotionally distant,3
7907,I feel fine and stable,Mood fluctuates frequently,6
7908,I feel worried about everything,Shows signs of irritability,1
7909,I feel worried about everything,Shows signs of irritability,3
7910,I feel calm and normal,She seems withdrawn and quiet,3
